ID,DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,Latitude,Longitude,PREP_TIME
497,JAVA DAY,Queens,162ND ST,11358,7189615555,Bagels/Pretzels,40.75829979,-73.80427499,4
498,J-FOOD NYC,Manhattan,WEST   28 STREET,10001,9178851530,Chicken,40.74560153,-73.98951604,2
499,JICAMA,Manhattan,LEXINGTON AVENUE,10022,9175439004,Italian,40.75691801,-73.97206567,1
500,JIMMY RYAN'S,Bronx,MIDDLETOWN ROAD,10461,7188635687,American,40.84393617,-73.83017875,3
501,JIMMYS PIZZA,Brooklyn,WILSON AVENUE,11207,7184553237,Pizza,40.691269,-73.90912916,3
502,JIMMY'S PIZZA,Bronx,WHITE PLAINS ROAD,10473,7182394333,Pizza,40.82445169,-73.85891053,1
503,JIMMY'S TRATTORIA,Queens,BELL BOULEVARD,11361,7182295319,Italian,40.75862285,-73.7684482,4
504,JIM'S CHINA KING,Queens,SENECA AVENUE,11385,7184181288,Chinese,40.70476926,-73.910997,2
505,JING FONG,Manhattan,AMSTERDAM AVENUE,10024,6466785511,Chinese,40.78256644,-73.97875679,0
506,JING WOK,Brooklyn,NOSTRAND AVENUE,11216,7188573289,Chinese,40.68721853,-73.95092914,3
507,JING XIN,Bronx,OGDEN AVENUE,10452,7185881688,Other,40.8336207,-73.92899743,1
508,JJ BAR & BISTRO,Queens,ROOSEVELT AVE,11354,7189397252,Korean,40.76398421,-73.81082471,0
509,JJ KINAHAN'S,Manhattan,6 AVENUE,10010,6464766276,American,40.7443254,-73.99177539,3
510,JJ'S,Brooklyn,NORTH   10 STREET,11249,9178922698,American,40.72075419,-73.95795719,5
511,J-M PIZZA II,Brooklyn,AVENUE U,11229,7186456010,Pizza,40.59866096,-73.95797675,4
512,JO JO PIZZA,Bronx,WESTCHESTER AVENUE,10472,7183786588,Pizza,40.82868667,-73.87794809,4
513,JOHNNY MACK'S BAR,Brooklyn,8 AVENUE,11215,7188327961,American,40.66439904,-73.98035533,2
514,JOHNNY'S PIZZA,Brooklyn,5 AVENUE,11220,7184929735,Pizza,40.6405174,-74.01510114,4
515,JOHNSON BAR-B-Q,Bronx,EAST  163 STREET,10456,7184508181,Soul Food,40.82257298,-73.90260451,3
516,JOLOFF,Brooklyn,BEDFORD AVENUE,11216,7182300523,African,40.68409078,-73.95406832,3
517,JONGRO BBQ,Queens,ROOSEVELT AVE,11354,7189399330,Korean,40.76402041,-73.80948171,5
518,JOONG KOOG JIP,Queens,NORTHERN BLVD,11361,7184282221,Korean,40.75754391,-73.77946846,4
519,JOYA,Brooklyn,COURT STREET,11201,7182223484,Thai,40.68669912,-73.99379813,2
520,J'S WONG,Brooklyn,FRANKLIN AVENUE,11238,7183983054,Chinese,40.67394989,-73.9567683,4
521,KABAB KING,Queens,37TH RD,11372,7184575857,Indian,40.74715438,-73.89227429,2
522,KAL,Queens,30TH AVE,11103,9193491230,Korean,40.76570338,-73.91883928,0
523,KALAMAKI GR,Queens,172ND ST,11358,7189391616,Greek,40.77001984,-73.79325796,4
524,KANTO GRILL,Queens,JAMAICA AVE,11428,7184702711,Filipino,40.71694336,-73.74142267,3
525,KARCZMA,Brooklyn,GREENPOINT AVENUE,11222,7183491744,Polish,40.73007171,-73.9554184,1
526,KATCH,Queens,NEWTOWN AVE,11102,9143200307,American,40.76743108,-73.92062418,2
527,KATI SHOP,Manhattan,BROADWAY,10018,9172620606,Thai,40.75204054,-73.98750465,1
528,KA-VA BAR,Brooklyn,HAVEMEYER STREET,11211,9292502244,Coffee/Tea,40.71135326,-73.95770343,4
529,KAVA SOCIAL,Brooklyn,BEDFORD AVENUE,11249,7185995282,Coffee/Tea,40.71968564,-73.95574284,4
530,KAVKAZKIY DVORIK,Brooklyn,AVENUE U,11229,7187697003,Mediterranean,40.60014015,-73.9445115,3
531,K-BAP,Manhattan,WEST   56 STREET,10019,7186404640,Korean,40.76307272,-73.97635885,1
532,KBBQ,Manhattan,PARK AVENUE,10169,6467470816,Korean,40.75450075,-73.97595043,0
533,KFC,Brooklyn,UTICA AVENUE,11203,8776944474,American,40.6626401,-73.93155545,5
534,KFC,Queens,QUEENS BOULEVARD,11435,7185230540,American,40.70373523,-73.81510074,2
535,KFC,Queens,HILLSIDE AVE,11432,7185262127,American,40.71183644,-73.78738999,4
536,KFC,Queens,QUEENS BLVD,11377,7184240019,American,40.74193662,-73.90808904,4
537,KFC,Queens,QUEENS BLVD,11377,7182055231,American,40.74193662,-73.90808904,2
538,KFC,Bronx,EAST FORDHAM ROAD,10458,9175191600,Chicken,40.86186535,-73.89195038,3
539,KFC,Bronx,EAST  149 STREET,10455,7185858333,Chicken,40.81633571,-73.91869059,2
540,KFC,Brooklyn,MYRTLE AVENUE,11237,7183819175,Chicken,40.69949135,-73.91135751,2
541,KFC,Brooklyn,MYRTLE AVENUE,11237,9177965620,Chicken,40.69949135,-73.91135751,1
542,KFC,Brooklyn,PITKIN AVENUE,11212,9177965620,Chicken,40.66952697,-73.91180483,5
543,KFC,Brooklyn,UTICA AVENUE,11203,9177965620,Chicken,40.6626401,-73.93155545,4
544,KFC,Brooklyn,NOSTRAND AVENUE,11216,7186224108,Chicken,40.68048775,-73.94957127,0
545,KFC,Brooklyn,BEDFORD AVENUE,11205,7186223480,Chicken,40.68932823,-73.9551104,0
546,KFC,Brooklyn,FLATBUSH AVENUE,11226,9177965620,Chicken,40.6486436,-73.95830191,2
547,KFC,Brooklyn,CONEY ISLAND AVENUE,11218,9292994550,Chicken,40.64440939,-73.97029322,2
548,KFC,Brooklyn,4 AVENUE,11232,7187684853,Chicken,40.65918565,-73.99937647,3
549,KFC,Manhattan,LENOX AVENUE,10039,9175661748,Chicken,40.82069162,-73.93605306,3
550,KFC,Manhattan,EAST   14 STREET,10003,9177965620,Chicken,40.7328545,-73.98618043,2
551,KFC,Queens,CROSSBAY BLVD,11414,9177965620,Chicken,40.65999082,-73.84008488,2
552,KFC,Queens,ROCKAWAY BLVD,11434,7185259603,Chicken,40.67212387,-73.78533968,4
553,KFC,Queens,JAMAICA AVE,11421,7187094990,Chicken,40.69264042,-73.85704132,1
554,KFC,Queens,FRANCIS LEWIS BOULEVARD,11411,7185259608,Chicken,40.69591777,-73.74608447,4
555,KFC,Queens,FRANCIS LEWIS BLVD,11411,7185259608,Chicken,40.69591777,-73.74608447,0
556,KFC,Queens,QUEENS BLVD,11435,9177965620,Chicken,40.70373523,-73.81510074,2
557,KFC,Queens,HILLSIDE AVE,11432,9177965620,Chicken,40.71183644,-73.78738999,2
558,KFC,Queens,UNION TPKE,11366,9177965620,Chicken,40.71996585,-73.80887219,3
559,KFC,Queens,NORTHERN BLVD,11372,7183359705,Chicken,40.75607417,-73.8804892,1
560,KFC,Queens,STEINWAY STREET,11103,7182672222,Chicken,40.76274793,-73.91593334,2
561,KFC,Queens,NORTHERN BLVD,11354,9177965620,Chicken,40.76490863,-73.81215417,1
562,KHILADI,Manhattan,AVENUE B,10009,6467910351,Indian,40.72755059,-73.97939136,1
563,KICHIN,Brooklyn,MYRTLE AVENUE,11221,9179912319,Korean,40.69791572,-73.92673347,1
564,KIDS 'N' ACTION,Brooklyn,MCDONALD AVENUE,11230,7183771818,Jewish/Kosher,40.62507924,-73.97606208,1
565,KIKI'S,Manhattan,DIVISION STREET,10002,6468827052,Greek,40.7144404,-73.99185845,3
566,KILO ASTORIA,Queens,DITMARS BLVD,11105,7186069300,Brazilian,40.7757537,-73.91014715,3
567,KIM FAI,Brooklyn,UTICA AVENUE,11234,7189510529,Chinese,40.6323824,-73.92832607,1
568,KIMCHI GRILL,Brooklyn,WASHINGTON AVENUE,11238,7183601839,Korean,40.67491555,-73.96321719,0
569,KIMOTO ROOFTOP,Brooklyn,DUFFIELD STREET,11201,7188588940,Asian/Asian Fusion,40.69159215,-73.9843788,2
570,KIN KHAO,Queens,45TH AVE,11373,9179529561,Asian/Asian Fusion,40.74161711,-73.88276707,4
571,KINARAS INDIAN FOOD,Brooklyn,MYRTLE AVENUE,11205,7182374008,Indian,40.69318164,-73.97148666,1
572,KING,Manhattan,KING STREET,10014,9178251618,French,40.72769512,-74.00363322,4
573,KING DAVID TACOS,Brooklyn,BERGEN STREET,11238,9175312502,Tex-Mex,40.67969606,-73.96953834,5
574,KING KABAB,Queens,HILLSIDE AVE,11432,7185264968,Indian,40.70980622,-73.7954365,4
575,KING TAI,Brooklyn,BERGEN STREET,11216,7185131025,American,40.67606306,-73.94932227,3
576,KING WAH,Queens,FRESH POND RD,11385,7184185858,Chinese,40.71015026,-73.89922732,4
577,KING WOK,Bronx,ALLERTON AVENUE,10467,7182311000,Chinese,40.86545315,-73.86626746,2
578,KING WOK,Queens,MYRTLE AVENUE,11385,7184563317,Chinese,40.70179838,-73.882419,4
579,KING WOK,Queens,HORACE HARDING EXPRESSWAY,11365,7183210600,Chinese,40.73968675,-73.78987012,3
580,KING WOK,Queens,FRANCIS LEWIS BOULEVARD,11358,7183522266,Chinese,40.77329949,-73.79613971,5
581,KINGS BOX,Queens,FRANCIS LEWIS BLVD,11358,9176217373,Korean,40.7664427,-73.78984675,1
582,KING'S PIZZA,Brooklyn,EAST   16 STREET,11229,7186278434,Pizza,40.60862978,-73.95732218,5
583,KINGS WOK,Queens,30TH AVE,11377,9176052119,Chinese,40.76029025,-73.90734889,3
584,KING'S WOK,Brooklyn,TROY AVENUE,11213,7183631187,Chinese,40.67032285,-73.93653304,3
585,KING'S WOK,Brooklyn,BEDFORD AVENUE,11216,7182215866,Chinese,40.67261224,-73.95435384,2
586,KINI,Queens,35TH AVE,11101,7183619222,Korean,40.75426147,-73.92024651,3
587,KINKHAO THAI,Manhattan,AMSTERDAM AVENUE,10032,6468337939,Thai,40.84065976,-73.93634461,3
588,KLIMAT,Manhattan,EAST    7 STREET,10003,9172140589,Polish,40.72732384,-73.98656763,2
589,KNAPP PIZZA III,Brooklyn,KINGS HIGHWAY,11223,7186271700,Pizza,40.60440785,-73.97416805,0
590,KNAPP ST PIZZA II,Brooklyn,AVENUE X,11223,7183760174,Pizza,40.59020886,-73.97328784,3
591,KNITTING FACTORY,Brooklyn,METROPOLITAN AVENUE,11211,7326143945,American,40.71409186,-73.95589447,5
592,KOKO RICO,Queens,JUNCTION BLVD,11368,7188019570,Spanish,40.7486399,-73.86909781,4
593,KONDITORI,Manhattan,BROADWAY,10018,6466960257,Coffee/Tea,40.75460407,-73.98676062,2
594,KONG SIHK TONG,Manhattan,BAYARD STREET,10013,6468506150,Chinese,40.71546996,-73.99808092,4
595,KORILLA,Brooklyn,METROTECH CTR,11201,9179091297,Korean,40.69371953,-73.98569453,1
596,KORZO,Brooklyn,5 AVENUE,11215,7184991199,German,40.66209488,-73.99262539,3
597,KOTO,Brooklyn,FLATBUSH AVENUE,11217,7182303881,Japanese,40.67993606,-73.97444514,1
598,KRAZY PIZZA AND WINGS,Brooklyn,BROADWAY,11221,7189754496,Chicken,40.69680905,-73.93495342,5
599,KRISPY PIZZA,Brooklyn,13 AVENUE,11228,7187459618,Pizza,40.62244937,-74.00520165,3
600,KROK,Brooklyn,COLUMBIA STREET,11231,7188588898,Thai,40.68744037,-74.00152524,3
601,KYOTO,Brooklyn,SMITH STREET,11201,7185225888,Japanese,40.68784065,-73.98969823,3
602,L. I. C. BAR,Queens,VERNON BOULEVARD,11101,7187865400,Irish,40.74724457,-73.95259544,1
603,LA BARISTA,Queens,30TH AVE,11102,9294621111,Coffee/Tea,40.76774302,-73.92323755,4
604,LA CABANA,Queens,NORTHERN BLVD,11372,7184143035,Spanish,40.75597089,-73.88147117,4
605,LA CANOA,Queens,ONDERDONK AVENUE,11385,7184566011,Latin American,40.70452546,-73.90812639,2
606,LA CATRINA,Bronx,EASTCHESTER ROAD,10461,7166662220,Mexican,40.85385252,-73.84343787,1
607,LA GATA GOLOSA,Queens,BROADWAY,11106,7188061493,Spanish,40.76223059,-73.92596575,2
608,LA GITANA # 2,Queens,ROOSEVELT AVE,11368,7187797797,Spanish,40.75164024,-73.85562932,1
609,LA ISLA,Brooklyn,5 AVENUE,11220,7187489375,Latin American,40.64549975,-74.00991684,0
610,LA NACIONAL,Manhattan,WEST   14 STREET,10011,9172165259,Spanish,40.7390585,-74.00087328,5
611,LA PALAPA TACOS,Manhattan,PARK AVENUE,10169,6467470815,Tex-Mex,40.75450075,-73.97595043,2
612,LA PATRONA,Bronx,SOUTHERN BOULEVARD,10455,7184016000,Mexican,40.81236584,-73.903277,4
613,La Patrona,Bronx,EAST  149 STREET,10455,7184016000,Mexican,40.81257393,-73.90596084,2
614,LA SALA,Queens,CRESCENT STREET,11106,7186066121,American,40.76329992,-73.92852037,4
615,LA TOMBOLA,Brooklyn,WEST   21 STREET,11224,9178872100,Italian,40.57349278,-73.98744099,5
616,LA VARA,Brooklyn,CLINTON STREET,11201,7184220065,Spanish,40.68770928,-73.99559012,3
617,LA VILLA PIZZARIA,Brooklyn,86 STREET,11228,7182563100,Pizza,40.61102261,-74.00887082,1
618,LADY JAY'S,Brooklyn,GRAND STREET,11211,7183871029,American,40.7113734,-73.94674512,0
619,LAHORI KABAB,Manhattan,LEXINGTON AVENUE,10016,6466203183,Pakistani,40.74226034,-73.98274654,3
620,LAMOON,Queens,BROADWAY,11373,9177451168,Thai,40.74316308,-73.88342475,2
621,LAN LARB SOHO,Manhattan,CENTRE STREET,10013,6468959264,Thai,40.7199412,-73.99840186,1
622,LANGKAWI,Brooklyn,8 AVENUE,11220,7186330808,Asian/Asian Fusion,40.63925291,-74.00562814,3
623,LAOMA MA LA TANG,Queens,ROOSEVELT AVENUE,11354,7186612668,Chinese,40.758502,-73.83324181,2
624,LAS CATRINAS,Queens,BROADWAY,11106,9177450969,Mexican,40.76152421,-73.92446125,4
625,LAS MARGARITAS,Queens,BROADWAY,11103,7187771707,Mexican,40.75929221,-73.91967374,3
626,LAST CALL,Queens,LEFFERTS BOULEVARD,11415,7184413838,American,40.70797844,-73.8309701,4
627,LATHAM & WATKINS,Manhattan,AVENUE OF THE AMERICAS,10020,6462586175,Other,40.76028202,-73.98015728,3
628,LATIN SOCIAL COCINA-BAR,Manhattan,MAIDEN LANE,10038,6464100080,American,40.70764987,-74.00775839,4
629,L'FONDA,Manhattan,AMSTERDAM AVENUE,10032,9175211631,Latin American,40.83493647,-73.94050237,1
630,LI & CHO,Queens,NORTHERN BLVD,11354,9293290405,Chinese,40.76440002,-73.82554137,1
631,LIANG PI WANG#10,Queens,ROOSEVELT AVENUE,11354,7188857332,Chinese,40.758502,-73.83324181,4
632,LIDO,Manhattan,FREDERICK DOUGLAS BOULEVARD,10026,6464908575,Italian,40.80498417,-73.95493819,2
633,LILI AND CATA,Brooklyn,GREENPOINT AVENUE,11222,9178879589,Other,40.72980652,-73.95820402,3
634,LILI AND LOO,Manhattan,3 AVENUE,10065,6315149353,Asian/Asian Fusion,40.76266109,-73.9657857,1
635,LILIA,Brooklyn,UNION AVENUE,11211,7185763095,Italian,40.71748017,-73.95219462,4
636,LIMA,Brooklyn,AVENUE U,11234,7182415462,Peruvian,40.6174439,-73.91074289,4
637,LINCOLN HOT PIZZA,Bronx,EAST  149 STREET,10451,9173404740,Pizza,40.81759339,-73.92354473,0
638,LINCOLN STATION,Brooklyn,LINCOLN PLACE,11238,7183992211,American,40.67254658,-73.9624903,0
639,LINDA PIZZA,Bronx,3 AVENUE,10451,7182923100,Pizza,40.82384341,-73.90882457,5
640,LINDA'S PIZZA,Bronx,EAST TREMONT AVENUE,10457,7185834282,Pizza,40.84497813,-73.89024303,5
641,LLAMA INN,Brooklyn,WITHERS STREET,11211,7183873434,Peruvian,40.71674687,-73.9511454,0
642,LLAMA SAN,Manhattan,6 AVENUE,10014,6464904422,Japanese,40.7321362,-74.00064948,3
643,LN 1380,Queens,NORTHERN BLVD,11362,7182799888,Chinese,40.76901783,-73.73685855,1
644,LOBO BROOKLYN,Brooklyn,COURT STREET,11201,7188020947,Mexican,40.68654816,-73.9938919,1
645,LOCOCO,Brooklyn,STAGG STREET,11206,8602047995,Coffee/Tea,40.70986569,-73.93953594,0
646,LOJA'S PIZZA,Bronx,EAST  167 STREET,10456,7182933333,Pizza,40.83426594,-73.91705324,5
647,LOLA'S,Brooklyn,FLATBUSH AVENUE,11234,9176264388,Mexican,40.61849897,-73.9323429,4
648,LOLLIPOPS,Queens,CROSS ISLAND PARKWAY,11357,7187464756,American,40.78693457,-73.80836864,2
649,LORD NYC,Brooklyn,KINGS HIGHWAY,11223,7188727799,Eastern European,40.60654068,-73.96442186,4
650,LOS 3 POTRILLOS,Brooklyn,4 AVENUE,11232,7187888484,Mexican,40.65269408,-74.00610139,1
651,LOS 3 POTRILLOS,Queens,37TH AVE,11368,7184248786,Mexican,40.75185747,-73.86971948,3
652,LOS CATRACHOS,Bronx,CRESCENT AVENUE,10458,6462718254,Spanish,40.8537123,-73.88783554,3
653,LOS MARINILLOS,Queens,NORTHERN BLVD,11354,9175389317,Spanish,40.76438085,-73.82556669,3
654,LOS MARISCOS,Manhattan,WEST   15 STREET,10011,9175133636,Mexican,40.74193762,-74.00555385,4
655,LOS TACOS NO.1,Manhattan,PARK AVE,10017,6197409242,Tex-Mex,40.751674,-73.97767668,5
656,LP 'N HARMONY,Brooklyn,GRAND STREET,11211,6467658269,American,40.71153181,-73.9450713,2
657,LYDIG PIZZA PIZZA,Bronx,CRUGER AVENUE,10462,6466435434,Pizza,40.85405477,-73.86669533,2
658,M.A.C.C.,Manhattan,WEST  106 STREET,10025,6467564299,Coffee/Tea,40.79882472,-73.96187348,5
659,MACCHINA NYC,Manhattan,3 AVENUE,10016,6469186553,Italian,40.74100031,-73.98154878,4
660,MACRI PARK,Brooklyn,UNION AVENUE,11211,7185994999,American,40.71424111,-73.95164144,3
661,MADISON ST PIZZA,Manhattan,MADISON STREET,10002,6467533499,Pizza,40.71274388,-73.98879619,1
662,MAKANA,Manhattan,SAINT NICHOLAS AVENUE,10033,6468691383,Hawaiian,40.84639051,-73.93587646,3
663,MAKITO,Manhattan,WEST   14 STREET,10014,9176560870,Japanese,40.74041708,-74.00409582,2
664,MAMA CAPRI,Brooklyn,SMITH STREET,11231,7185225575,Italian,40.68335043,-73.99273841,2
665,MAMAN,Manhattan,3 AVENUE,10028,6464767660,Coffee/Tea,40.77541282,-73.95647832,5
666,MAMAN,Manhattan,WEST   25 STREET,10010,6468380700,French,40.7433591,-73.98996389,1
667,MAMAN,Manhattan,EAST   10 STREET,10003,6467670097,French,40.73267949,-73.9936892,1
668,MAMAN,Manhattan,WEST   48 STREET,10036,7184507160,Other,40.75751779,-73.97870345,0
669,MAMAN,Manhattan,WEST BROADWAY,10013,6468828682,Sandwiches/Salads/Mixed Buffet,40.71893369,-74.00652234,4
670,MAMMA ROSA'S,Bronx,ALLERTON AVENUE,10469,7188810242,Sandwiches,40.86549319,-73.85844711,3
671,MANDARIN WOK II,Bronx,EAST GUN HILL ROAD,10469,7184051915,Chinese,40.87259319,-73.85143163,2
672,MANGIA PIZZA II,Queens,ROCKAWAY BLVD,11417,7183228500,Pizza,40.67832248,-73.83190001,2
673,MANGIAS PIZZA AND PIZZA,Bronx,CROSBY AVENUE,10461,7185974992,Pizza,40.84628803,-73.83178476,3
674,MANI IN PASTA,Manhattan,WEST   39 STREET,10018,6469931653,Pizza,40.75456865,-73.98936303,5
675,MANNYS,Brooklyn,MOTHER GASTON BOULEVARD,11212,7184851224,American,40.66789228,-73.90638911,1
676,Manny's Bistro,Manhattan,COLUMBUS AVENUE,10023,6468820110,French,40.77628934,-73.97959646,1
677,MAPO B.B.Q,Queens,41ST AVE,11355,7188868292,Korean,40.76225923,-73.8151037,4
678,MARAVILLA'S BAR & GRILL,Bronx,SOUNDVIEW AVE,10473,7186187440,Spanish,40.81075682,-73.85563425,1
679,MARCONIS PIZZA,Bronx,E GUN HILL RD  #181,10467,7187984970,Pizza,40.88086966,-73.87804359,4
680,MARGARITA'S,Bronx,AVENUE SAINT JOHN,10455,9172166715,Spanish,40.81577173,-73.9028674,4
681,MARIA'S,Queens,BELL BOULEVARD,11361,7182791606,Greek,40.76627766,-73.77238896,2
682,MARINARA,Manhattan,PARK AVENUE SOUTH,10016,6466495282,Pizza,40.74248568,-73.98466996,3
683,MARINARA PIZZA,Manhattan,1 AVENUE,10022,9172612147,Pizza,40.75647394,-73.96426567,5
684,MARINARA PIZZA,Manhattan,2 AVENUE,10003,6468377000,Pizza,40.72985454,-73.98673309,4
685,MARIO'S PIZZA,Bronx,EAST GUN HILL ROAD,10467,7182313086,Pizza,40.88178548,-73.87977776,4
686,Mario's Pizza,Brooklyn,65 STREET,11219,7182325440,Pizza,40.6250241,-73.99992795,3
687,MARIO'S PIZZA,Queens,FRANCIS LEWIS BOULEVARD,11422,7185274600,Pizza,40.66516817,-73.73527648,1
688,MARIO'S PIZZA 2,Bronx,WESTCHESTER AVENUE,10459,7189916142,Pizza,40.82406042,-73.89310319,2
689,MARRIZZANG OF NY,Queens,162ND ST,11358,7188868222,Korean,40.75964438,-73.80407249,2
690,MAR'S,Queens,34 AVE,11106,7186852480,American,40.75844195,-73.92461636,1
691,MARTIN'S FOODZ 2 GO,Bronx,DYRE AVENUE,10466,7185010400,Caribbean,40.88836678,-73.83128003,1
692,MARY WORLD FIT,Queens,43RD AVE,11368,9172427688,Other,40.74726249,-73.86245269,4
693,MASAGO BISTRO,Brooklyn,NOSTRAND AVENUE,11216,7187788828,Japanese,40.67234156,-73.95028042,1
694,MASALA KING,Manhattan,EAST   34 STREET,10016,6467670230,Other,40.74746709,-73.98229406,5
695,MATCHPOINT,Brooklyn,BAY PARKWAY,11214,7187690001,American,40.59500163,-74.00103342,5
696,matchpointnyc,Brooklyn,SHELL ROAD,11223,7187690001,Soups/Salads/Sandwiches,40.58449724,-73.9745142,0
697,MAX,Queens,30 AVENUE,11103,7187771635,German,40.76118932,-73.90926443,3
698,MAZAG,Queens,STEINWAY ST,11103,9178327587,Middle Eastern,40.76752638,-73.91204278,1
699,MAZZAT,Brooklyn,COLUMBIA STREET,11231,7188521652,Middle Eastern,40.68490417,-74.00276913,4
700,MCDONALD'S,Bronx,EAST TREMONT AVENUE,10465,7188281430,Hamburgers,40.82757806,-73.82327208,2
701,MCDONALD'S,Bronx,CONNER STREET,10475,7189942083,Hamburgers,40.8852923,-73.82732412,5
702,MCDONALD'S,Bronx,WESTCHESTER SQ,10461,7182392400,Hamburgers,40.84043333,-73.84331417,1
703,MCDONALD'S,Bronx,WHITE PLAINS ROAD,10466,7185471823,Hamburgers,40.89287909,-73.85764709,0
704,MCDONALD'S,Bronx,BRUCKNER BOULEVARD,10472,7188637289,Hamburgers,40.82600607,-73.86187376,2
705,MCDONALD'S,Bronx,WHITE PLAINS ROAD,10467,7188827541,Hamburgers,40.8636649,-73.86739907,4
706,MCDONALD'S,Bronx,WHITE PLAINS ROAD,10462,7189315822,Hamburgers,40.85558194,-73.8676466,3
707,MCDONALD'S,Bronx,WEBSTER AVENUE,10467,7182315597,Hamburgers,40.87911679,-73.87140745,4
708,MCDONALD'S,Bronx,BRUCKNER BOULEVARD,10473,7186170869,Hamburgers,40.82388526,-73.87460388,5
709,MCDONALD'S,Bronx,EAST  204 STREET,10467,7186531387,Hamburgers,40.87295716,-73.87855715,2
710,MCDONALD'S,Bronx,SOUTHERN BOULEVARD,10458,7183642493,Hamburgers,40.85651032,-73.88078521,5
711,MCDONALD'S,Bronx,HUNTS POINT AVENUE,10459,7182158275,Hamburgers,40.82042713,-73.8909846,1
712,MCDONALD'S,Bronx,GARRISON AVENUE,10474,7186170329,Hamburgers,40.81676695,-73.89237794,2
713,MCDONALD'S,Bronx,EAST TREMONT AVENUE,10457,7187314755,Hamburgers,40.84643042,-73.89350807,1
714,MCDONALD'S,Bronx,WESTCHESTER AVENUE,10455,7183284936,Hamburgers,40.81957506,-73.90183213,4
715,MCDONALD'S,Bronx,WEBSTER AVENUE,10457,7182990849,Hamburgers,40.84170526,-73.9043112,3
716,MCDONALD'S,Bronx,JEROME AVENUE,10453,7187332819,Hamburgers,40.85430572,-73.90689931,1
717,MCDONALD'S,Bronx,3RD AVE @164TH ST E,10456,7184013419,Hamburgers,40.8250699,-73.90830619,3
718,MCDONALD'S,Bronx,WEST MOUNT EDEN AVENUE,10452,7189014930,Hamburgers,40.84441167,-73.91490448,5
719,MCDONALD'S,Bronx,EAST  170 STREET,10452,7184109150,Hamburgers,40.83950474,-73.91580706,4
720,MCDONALD'S,Bronx,UNIVERSITY AVENUE,10453,7182941309,Hamburgers,40.85011601,-73.91596708,4
721,MCDONALD'S,Bronx,3 AVENUE,10455,7186655373,Hamburgers,40.81639216,-73.91702864,1
722,MCDONALD'S,Bronx,EAST  167 STREET,10452,7325159898,Hamburgers,40.83519559,-73.91977328,5
723,MCDONALD'S,Bronx,EAST  149 STREET,10451,7182928812,Hamburgers,40.81715584,-73.92185081,0
724,MCDONALD'S,Bronx,BRUCKNER BOULEVARD,10454,7187421804,Hamburgers,40.80613556,-73.92579752,4
725,MCDONALD'S,Bronx,GRAND CONCOURSE,10451,7184028608,Hamburgers,40.81985438,-73.9267107,4
726,MCDONALD'S,Brooklyn,LINDEN BOULEVARD,11208,7188274227,Hamburgers,40.66974539,-73.86082518,2
727,MCDONALD'S,Brooklyn,ATLANTIC AVENUE,11208,7189649600,Hamburgers,40.67954302,-73.8790946,1
728,MCDONALD'S,Brooklyn,PENNSYLVANIA AVENUE,11207,7182723362,Hamburgers,40.65766982,-73.88993248,2
729,MCDONALD'S,Brooklyn,ATLANTIC AVENUE,11207,7186477818,Hamburgers,40.67648347,-73.89090715,4
730,MCDONALD'S,Brooklyn,SHEFFIELD AVENUE,11207,7183427253,Hamburgers,40.67726424,-73.89824251,3
731,MCDONALD'S,Brooklyn,ROCKAWAY PARKWAY,11236,7182885969,Hamburgers,40.64454669,-73.90165462,3
732,MCDONALD'S,Brooklyn,PITKIN AVENUE,11212,7184849413,Hamburgers,40.66941219,-73.91245745,2
733,MCDONALD'S,Brooklyn,KNICKERBOCKER AVENUE,11237,7189197660,Hamburgers,40.69949741,-73.91959099,5
734,MCDONALD'S,Brooklyn,KINGS PLZ,11234,7182525460,Hamburgers,40.61123399,-73.92026317,3
735,MCDONALD'S,Brooklyn,CLARENDON ROAD,11203,7184510834,Hamburgers,40.64491615,-73.92158848,2
736,MCDONALD'S,Brooklyn,BROADWAY,11221,7185738797,Hamburgers,40.68924436,-73.92164793,4
737,MCDONALD'S,Brooklyn,ATLANTIC AVENUE,11233,7189535864,Hamburgers,40.67697024,-73.92240869,2
738,MCDONALD'S,Brooklyn,EASTERN PARKWAY,11213,7184930800,Hamburgers,40.66876582,-73.93051457,1
739,MCDONALD'S,Brooklyn,UTICA AVENUE,11203,7187780023,Hamburgers,40.6561812,-73.93084489,4
740,MCDONALD'S,Brooklyn,FULTON STREET,11216,7187788016,Hamburgers,40.67986272,-73.93981202,2
741,MCDONALD'S,Brooklyn,MEEKER AVENUE,11222,7184866195,Hamburgers,40.72222317,-73.94055648,1
742,MCDONALD'S,Brooklyn,GRAND STREET,11211,7183025024,Hamburgers,40.71170658,-73.94324957,0
743,MCDONALD'S,Brooklyn,FLATBUSH AVENUE,11226,7186935353,Hamburgers,40.64872319,-73.95829825,2
744,MCDONALD'S,Brooklyn,BROADWAY,11211,6316670434,Hamburgers,40.70881207,-73.95898551,3
745,MCDONALD'S,Brooklyn,EMPIRE BOULEVARD,11225,7182828100,Hamburgers,40.66332885,-73.96022829,5
746,MCDONALD'S,Brooklyn,NEPTUNE AVENUE,11224,7189961029,Hamburgers,40.57991906,-73.97508115,4
747,MCDONALD'S,Brooklyn,FLATBUSH AVENUE EXTENSION,11201,7185224983,Hamburgers,40.68981584,-73.98140434,3
